"Annotation Protein Groups Group ID"	"Checked"	"Tags"	"Annotation Accession"	"Annotation Level"	"Annotation Description"	"Annotation Source"	"# Master Proteins"	"# Proteins"	"# Reference Proteins"	"Coverage [%]"
"1645"	"False"	""	"GO:0097060"	"IntermediateAnnotation"	"synaptic membrane"	"GOAnnotation"	"1"	"1"	"338"	"0"
"1646"	"False"	""	"GO:0045211"	"IntermediateAnnotation"	"postsynaptic membrane"	"GOAnnotation"	"1"	"1"	"233"	"0"
"1647"	"False"	""	"GO:0099572"	"IntermediateAnnotation"	"postsynaptic specialization"	"GOAnnotation"	"1"	"1"	"252"	"0"
"1648"	"False"	""	"GO:0032279"	"IntermediateAnnotation"	"asymmetric synapse"	"GOAnnotation"	"1"	"1"	"234"	"0"
"1649"	"False"	""	"GO:0098590"	"IntermediateAnnotation"	"plasma membrane region"	"GOAnnotation"	"7"	"7"	"1119"	"1"
"1650"	"False"	""	"GO:0098794"	"IntermediateAnnotation"	"postsynapse"	"GOAnnotation"	"2"	"2"	"456"	"0"
"1651"	"False"	""	"GO:0098978"	"IntermediateAnnotation"	"glutamatergic synapse"	"GOAnnotation"	"3"	"3"	"306"	"1"
"1652"	"False"	""	"GO:0099171"	"IntermediateAnnotation"	"presynaptic modulation of chemical synaptic transmission"	"GOAnnotation"	"1"	"1"	"27"	"4"
"1653"	"False"	""	"GO:0150076"	"IntermediateAnnotation"	"neuroinflammatory response"	"GOAnnotation"	"4"	"4"	"38"	"11"
"1654"	"False"	""	"GO:1900273"	"LeafAnnotation"	"positive regulation of long-term synaptic potentiation"	"GOAnnotation"	"1"	"1"	"19"	"5"
"1655"	"False"	""	"GO:0050806"	"IntermediateAnnotation"	"positive regulation of synaptic transmission"	"GOAnnotation"	"1"	"1"	"107"	"1"
"1656"	"False"	""	"GO:1900271"	"IntermediateAnnotation"	"regulation of long-term synaptic potentiation"	"GOAnnotation"	"3"	"3"	"33"	"9"
"1657"	"False"	""	"GO:1904322"	"LeafAnnotation"	"cellular response to forskolin"	"GOAnnotation"	"1"	"1"	"10"	"10"
"1658"	"False"	""	"GO:0071396"	"IntermediateAnnotation"	"cellular response to lipid"	"GOAnnotation"	"5"	"5"	"239"	"2"
"1659"	"False"	""	"GO:0097306"	"IntermediateAnnotation"	"cellular response to alcohol"	"GOAnnotation"	"2"	"2"	"65"	"3"
"1660"	"False"	""	"GO:1901655"	"IntermediateAnnotation"	"cellular response to ketone"	"GOAnnotation"	"1"	"1"	"58"	"2"
"1661"	"False"	""	"GO:1904321"	"IntermediateAnnotation"	"response to forskolin"	"GOAnnotation"	"1"	"1"	"10"	"10"
"1662"	"False"	""	"GO:0097305"	"IntermediateAnnotation"	"response to alcohol"	"GOAnnotation"	"5"	"5"	"148"	"3"
"1663"	"False"	""	"GO:1901701"	"IntermediateAnnotation"	"cellular response to oxygen-containing compound"	"GOAnnotation"	"8"	"8"	"565"	"1"
"1664"	"False"	""	"GO:1901654"	"IntermediateAnnotation"	"response to ketone"	"GOAnnotation"	"4"	"4"	"107"	"4"
"1665"	"False"	""	"GO:0030492"	"IntermediateAnnotation"	"hemoglobin binding"	"GOAnnotation"	"3"	"3"	"4"	"75"
"1666"	"False"	""	"Pf00354"	"LeafAnnotation"	"Pentaxin family"	"Pfam"	"1"	"1"	"3"	"33"
"1667"	"False"	""	"GO:0001849"	"LeafAnnotation"	"complement component C1q complex binding"	"GOAnnotation"	"2"	"2"	"7"	"29"
"1668"	"False"	""	"GO:0002674"	"IntermediateAnnotation"	"negative regulation of acute inflammatory response"	"GOAnnotation"	"1"	"1"	"9"	"11"
"1669"	"False"	""	"GO:0002673"	"IntermediateAnnotation"	"regulation of acute inflammatory response"	"GOAnnotation"	"4"	"4"	"32"	"12"
"1670"	"False"	""	"GO:0050728"	"IntermediateAnnotation"	"negative regulation of inflammatory response"	"GOAnnotation"	"5"	"5"	"84"	"6"
"1671"	"False"	""	"GO:0031348"	"IntermediateAnnotation"	"negative regulation of defense response"	"GOAnnotation"	"7"	"7"	"124"	"6"
"1672"	"False"	""	"GO:0006457"	"IntermediateAnnotation"	"protein folding"	"GOAnnotation"	"2"	"2"	"48"	"4"
"1673"	"False"	""	"GO:0044869"	"LeafAnnotation"	"negative regulation by host of viral exo-alpha-sialidase activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1674"	"False"	""	"GO:0044866"	"IntermediateAnnotation"	"modulation by host of viral exo-alpha-sialidase activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1675"	"False"	""	"GO:0052403"	"IntermediateAnnotation"	"negative regulation by host of symbiont catalytic activity"	"GOAnnotation"	"1"	"1"	"2"	"50"
"1676"	"False"	""	"GO:0044867"	"IntermediateAnnotation"	"modulation by host of viral catalytic activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1677"	"False"	""	"GO:0052422"	"IntermediateAnnotation"	"modulation by host of symbiont catalytic activity"	"GOAnnotation"	"1"	"1"	"2"	"50"
"1678"	"False"	""	"GO:0044868"	"IntermediateAnnotation"	"modulation by host of viral molecular function"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1679"	"False"	""	"GO:0051851"	"IntermediateAnnotation"	"modulation by host of symbiont process"	"GOAnnotation"	"3"	"3"	"33"	"9"
"1680"	"False"	""	"GO:0044788"	"IntermediateAnnotation"	"modulation by host of viral process"	"GOAnnotation"	"2"	"2"	"22"	"9"
"1681"	"False"	""	"GO:0051702"	"IntermediateAnnotation"	"biological process involved in interaction with symbiont"	"GOAnnotation"	"10"	"10"	"52"	"19"
"1682"	"False"	""	"GO:0044871"	"LeafAnnotation"	"negative regulation by host of viral glycoprotein metabolic process"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1683"	"False"	""	"GO:0044793"	"IntermediateAnnotation"	"negative regulation by host of viral process"	"GOAnnotation"	"1"	"1"	"4"	"25"
"1684"	"False"	""	"GO:0044870"	"IntermediateAnnotation"	"modulation by host of viral glycoprotein metabolic process"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1685"	"False"	""	"GO:0048525"	"IntermediateAnnotation"	"negative regulation of viral process"	"GOAnnotation"	"3"	"3"	"27"	"11"
"1686"	"False"	""	"GO:1903019"	"IntermediateAnnotation"	"negative regulation of glycoprotein metabolic process"	"GOAnnotation"	"1"	"1"	"10"	"10"
"1687"	"False"	""	"GO:0050792"	"IntermediateAnnotation"	"regulation of viral process"	"GOAnnotation"	"3"	"3"	"58"	"5"
"1688"	"False"	""	"GO:1903018"	"IntermediateAnnotation"	"regulation of glycoprotein metabolic process"	"GOAnnotation"	"1"	"1"	"22"	"5"
"1689"	"False"	""	"GO:0045656"	"LeafAnnotation"	"negative regulation of monocyte differentiation"	"GOAnnotation"	"1"	"1"	"3"	"33"
"1690"	"False"	""	"GO:0002762"	"IntermediateAnnotation"	"negative regulation of myeloid leukocyte differentiation"	"GOAnnotation"	"2"	"2"	"23"	"9"
"1691"	"False"	""	"GO:0045655"	"IntermediateAnnotation"	"regulation of monocyte differentiation"	"GOAnnotation"	"1"	"1"	"10"	"10"
"1692"	"False"	""	"GO:0002761"	"IntermediateAnnotation"	"regulation of myeloid leukocyte differentiation"	"GOAnnotation"	"2"	"2"	"58"	"3"
"1693"	"False"	""	"GO:0045638"	"IntermediateAnnotation"	"negative regulation of myeloid cell differentiation"	"GOAnnotation"	"2"	"2"	"27"	"7"
"1694"	"False"	""	"GO:0045637"	"IntermediateAnnotation"	"regulation of myeloid cell differentiation"	"GOAnnotation"	"2"	"2"	"73"	"3"
"1695"	"False"	""	"GO:0046597"	"IntermediateAnnotation"	"negative regulation of viral entry into host cell"	"GOAnnotation"	"2"	"2"	"12"	"17"
"1696"	"False"	""	"GO:0046596"	"IntermediateAnnotation"	"regulation of viral entry into host cell"	"GOAnnotation"	"2"	"2"	"25"	"8"
"1697"	"False"	""	"GO:1903901"	"IntermediateAnnotation"	"negative regulation of viral life cycle"	"GOAnnotation"	"2"	"2"	"13"	"15"
"1698"	"False"	""	"GO:0052372"	"IntermediateAnnotation"	"modulation by symbiont of entry into host"	"GOAnnotation"	"2"	"2"	"30"	"7"
"1699"	"False"	""	"GO:1903900"	"IntermediateAnnotation"	"regulation of viral life cycle"	"GOAnnotation"	"2"	"2"	"51"	"4"
"1700"	"False"	""	"GO:0043903"	"IntermediateAnnotation"	"regulation of biological process involved in symbiotic interaction"	"GOAnnotation"	"3"	"3"	"33"	"9"
"1701"	"False"	""	"GO:0046790"	"LeafAnnotation"	"virion binding"	"GOAnnotation"	"1"	"1"	"6"	"17"
"1702"	"False"	""	"GO:0051082"	"LeafAnnotation"	"unfolded protein binding"	"GOAnnotation"	"2"	"2"	"25"	"8"
"1703"	"False"	""	"GO:0051131"	"LeafAnnotation"	"chaperone-mediated protein complex assembly"	"GOAnnotation"	"2"	"2"	"5"	"40"
"1704"	"False"	""	"GO:1903016"	"LeafAnnotation"	"negative regulation of exo-alpha-sialidase activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1705"	"False"	""	"GO:1903015"	"IntermediateAnnotation"	"regulation of exo-alpha-sialidase activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1706"	"False"	""	"Pf00051"	"LeafAnnotation"	"Kringle domain"	"Pfam"	"7"	"7"	"15"	"47"
"1707"	"False"	""	"GO:0030971"	"IntermediateAnnotation"	"receptor tyrosine kinase binding"	"GOAnnotation"	"1"	"1"	"51"	"2"
"1708"	"False"	""	"GO:1990782"	"IntermediateAnnotation"	"protein tyrosine kinase binding"	"GOAnnotation"	"1"	"1"	"90"	"1"
"1709"	"False"	""	"GO:0019901"	"IntermediateAnnotation"	"protein kinase binding"	"GOAnnotation"	"4"	"4"	"367"	"1"
"1710"	"False"	""	"GO:0019900"	"IntermediateAnnotation"	"kinase binding"	"GOAnnotation"	"6"	"6"	"396"	"2"
"1711"	"False"	""	"GO:0045721"	"LeafAnnotation"	"negative regulation of gluconeogenesis"	"GOAnnotation"	"2"	"2"	"7"	"29"
"1712"	"False"	""	"GO:0006111"	"IntermediateAnnotation"	"regulation of gluconeogenesis"	"GOAnnotation"	"2"	"2"	"15"	"13"
"1713"	"False"	""	"GO:0045912"	"IntermediateAnnotation"	"negative regulation of carbohydrate metabolic process"	"GOAnnotation"	"2"	"2"	"26"	"8"
"1714"	"False"	""	"GO:0043255"	"IntermediateAnnotation"	"regulation of carbohydrate biosynthetic process"	"GOAnnotation"	"2"	"2"	"49"	"4"
"1715"	"False"	""	"GO:2000479"	"IntermediateAnnotation"	"regulation of cAMP-dependent protein kinase activity"	"GOAnnotation"	"2"	"2"	"4"	"50"
"1716"	"False"	""	"GO:0071900"	"IntermediateAnnotation"	"regulation of protein serine/threonine kinase activity"	"GOAnnotation"	"4"	"4"	"118"	"3"
"1717"	"False"	""	"GO:0045859"	"IntermediateAnnotation"	"regulation of protein kinase activity"	"GOAnnotation"	"4"	"4"	"213"	"2"
"1718"	"False"	""	"GO:0043549"	"IntermediateAnnotation"	"regulation of kinase activity"	"GOAnnotation"	"5"	"5"	"224"	"2"
"1719"	"False"	""	"GO:0051338"	"IntermediateAnnotation"	"regulation of transferase activity"	"GOAnnotation"	"8"	"8"	"239"	"3"
"1720"	"False"	""	"GO:0051354"	"IntermediateAnnotation"	"negative regulation of oxidoreductase activity"	"GOAnnotation"	"1"	"1"	"9"	"11"
"1721"	"False"	""	"GO:0051341"	"IntermediateAnnotation"	"regulation of oxidoreductase activity"	"GOAnnotation"	"1"	"1"	"24"	"4"
"1722"	"False"	""	"GO:2000296"	"LeafAnnotation"	"negative regulation of hydrogen peroxide catabolic process"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1723"	"False"	""	"GO:0010727"	"IntermediateAnnotation"	"negative regulation of hydrogen peroxide metabolic process"	"GOAnnotation"	"1"	"1"	"3"	"33"
"1724"	"False"	""	"GO:2000295"	"IntermediateAnnotation"	"regulation of hydrogen peroxide catabolic process"	"GOAnnotation"	"1"	"1"	"3"	"33"
"1725"	"False"	""	"GO:0010310"	"IntermediateAnnotation"	"regulation of hydrogen peroxide metabolic process"	"GOAnnotation"	"1"	"1"	"11"	"9"
"1726"	"False"	""	"GO:2000378"	"IntermediateAnnotation"	"negative regulation of reactive oxygen species metabolic process"	"GOAnnotation"	"1"	"1"	"14"	"7"
"1727"	"False"	""	"GO:2000377"	"IntermediateAnnotation"	"regulation of reactive oxygen species metabolic process"	"GOAnnotation"	"3"	"3"	"72"	"4"
"1728"	"False"	""	"Pf00882"	"LeafAnnotation"	"Zinc dependent phospholipase C"	"Pfam"	"1"	"1"	"1"	"100"
"1729"	"False"	""	"Pf01839"	"LeafAnnotation"	"FG-GAP repeat"	"Pfam"	"2"	"2"	"19"	"11"
"1730"	"False"	""	"GO:0002042"	"LeafAnnotation"	"cell migration involved in sprouting angiogenesis"	"GOAnnotation"	"1"	"1"	"13"	"8"
"1731"	"False"	""	"GO:0043534"	"IntermediateAnnotation"	"blood vessel endothelial cell migration"	"GOAnnotation"	"2"	"2"	"20"	"10"
"1732"	"False"	""	"GO:0002040"	"IntermediateAnnotation"	"sprouting angiogenesis"	"GOAnnotation"	"1"	"1"	"33"	"3"
"1733"	"False"	""	"GO:0043542"	"IntermediateAnnotation"	"endothelial cell migration"	"GOAnnotation"	"2"	"2"	"40"	"5"
"1734"	"False"	""	"GO:0001525"	"IntermediateAnnotation"	"angiogenesis"	"GOAnnotation"	"5"	"5"	"200"	"2"
"1735"	"False"	""	"GO:0002062"	"IntermediateAnnotation"	"chondrocyte differentiation"	"GOAnnotation"	"2"	"2"	"24"	"8"
"1736"	"False"	""	"GO:0051216"	"IntermediateAnnotation"	"cartilage development"	"GOAnnotation"	"3"	"3"	"48"	"6"
"1737"	"False"	""	"GO:0061448"	"IntermediateAnnotation"	"connective tissue development"	"GOAnnotation"	"3"	"3"	"69"	"4"
"1738"	"False"	""	"GO:0002430"	"IntermediateAnnotation"	"complement receptor mediated signaling pathway"	"GOAnnotation"	"2"	"2"	"15"	"13"
"1739"	"False"	""	"GO:0004621"	"LeafAnnotation"	"glycosylphosphatidylinositol phospholipase D activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1740"	"False"	""	"GO:0004630"	"IntermediateAnnotation"	"phospholipase D activity"	"GOAnnotation"	"1"	"1"	"5"	"20"
"1741"	"False"	""	"GO:0004620"	"IntermediateAnnotation"	"phospholipase activity"	"GOAnnotation"	"1"	"1"	"56"	"2"
"1742"	"False"	""	"GO:0008081"	"IntermediateAnnotation"	"phosphoric diester hydrolase activity"	"GOAnnotation"	"1"	"1"	"42"	"2"
"1743"	"False"	""	"GO:0016298"	"IntermediateAnnotation"	"lipase activity"	"GOAnnotation"	"2"	"2"	"63"	"3"
"1744"	"False"	""	"GO:0006507"	"LeafAnnotation"	"obsolete GPI anchor release"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1745"	"False"	""	"GO:0008286"	"IntermediateAnnotation"	"insulin receptor signaling pathway"	"GOAnnotation"	"1"	"1"	"46"	"2"
"1746"	"False"	""	"GO:0032869"	"IntermediateAnnotation"	"cellular response to insulin stimulus"	"GOAnnotation"	"2"	"2"	"81"	"2"
"1747"	"False"	""	"GO:0071375"	"IntermediateAnnotation"	"cellular response to peptide hormone stimulus"	"GOAnnotation"	"3"	"3"	"146"	"2"
"1748"	"False"	""	"GO:0032870"	"IntermediateAnnotation"	"cellular response to hormone stimulus"	"GOAnnotation"	"4"	"4"	"253"	"2"
"1749"	"False"	""	"GO:1901699"	"IntermediateAnnotation"	"cellular response to nitrogen compound"	"GOAnnotation"	"3"	"3"	"358"	"1"
"1750"	"False"	""	"GO:0071495"	"IntermediateAnnotation"	"cellular response to endogenous stimulus"	"GOAnnotation"	"5"	"5"	"443"	"1"
"1751"	"False"	""	"GO:0009749"	"IntermediateAnnotation"	"response to glucose"	"GOAnnotation"	"3"	"3"	"62"	"5"
"1752"	"False"	""	"GO:0009746"	"IntermediateAnnotation"	"response to hexose"	"GOAnnotation"	"3"	"3"	"65"	"5"
"1753"	"False"	""	"GO:0034284"	"IntermediateAnnotation"	"response to monosaccharide"	"GOAnnotation"	"3"	"3"	"67"	"4"
"1754"	"False"	""	"GO:0009743"	"IntermediateAnnotation"	"response to carbohydrate"	"GOAnnotation"	"3"	"3"	"77"	"4"
"1755"	"False"	""	"GO:0010595"	"IntermediateAnnotation"	"positive regulation of endothelial cell migration"	"GOAnnotation"	"3"	"3"	"63"	"5"
"1756"	"False"	""	"GO:0010594"	"IntermediateAnnotation"	"regulation of endothelial cell migration"	"GOAnnotation"	"6"	"6"	"95"	"6"
"1757"	"False"	""	"GO:0010694"	"LeafAnnotation"	"positive regulation of alkaline phosphatase activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1758"	"False"	""	"GO:0010692"	"IntermediateAnnotation"	"regulation of alkaline phosphatase activity"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1759"	"False"	""	"GO:0010922"	"IntermediateAnnotation"	"positive regulation of phosphatase activity"	"GOAnnotation"	"1"	"1"	"6"	"17"
"1760"	"False"	""	"GO:0010921"	"IntermediateAnnotation"	"regulation of phosphatase activity"	"GOAnnotation"	"1"	"1"	"9"	"11"
"1761"	"False"	""	"GO:0035306"	"IntermediateAnnotation"	"positive regulation of dephosphorylation"	"GOAnnotation"	"1"	"1"	"7"	"14"
"1762"	"False"	""	"GO:0035303"	"IntermediateAnnotation"	"regulation of dephosphorylation"	"GOAnnotation"	"1"	"1"	"16"	"6"
"1763"	"False"	""	"GO:0010867"	"LeafAnnotation"	"positive regulation of triglyceride biosynthetic process"	"GOAnnotation"	"1"	"1"	"5"	"20"
"1764"	"False"	""	"GO:0010866"	"IntermediateAnnotation"	"regulation of triglyceride biosynthetic process"	"GOAnnotation"	"2"	"2"	"6"	"33"
"1765"	"False"	""	"GO:0010907"	"IntermediateAnnotation"	"positive regulation of glucose metabolic process"	"GOAnnotation"	"1"	"1"	"19"	"5"
"1766"	"False"	""	"GO:0045913"	"IntermediateAnnotation"	"positive regulation of carbohydrate metabolic process"	"GOAnnotation"	"1"	"1"	"43"	"2"
"1767"	"False"	""	"GO:0010983"	"LeafAnnotation"	"positive regulation of high-density lipoprotein particle clearance"	"GOAnnotation"	"1"	"1"	"3"	"33"
"1768"	"False"	""	"GO:0010986"	"IntermediateAnnotation"	"positive regulation of lipoprotein particle clearance"	"GOAnnotation"	"1"	"1"	"6"	"17"
"1769"	"False"	""	"GO:0017080"	"IntermediateAnnotation"	"sodium channel regulator activity"	"GOAnnotation"	"2"	"2"	"27"	"7"
"1770"	"False"	""	"GO:0035774"	"LeafAnnotation"	"positive regulation of insulin secretion involved in cellular response to glucose stimulus"	"GOAnnotation"	"1"	"1"	"19"	"5"
"1771"	"False"	""	"GO:0032024"	"IntermediateAnnotation"	"positive regulation of insulin secretion"	"GOAnnotation"	"3"	"3"	"52"	"6"
"1772"	"False"	""	"GO:0061178"	"IntermediateAnnotation"	"regulation of insulin secretion involved in cellular response to glucose stimulus"	"GOAnnotation"	"1"	"1"	"31"	"3"
"1773"	"False"	""	"GO:0050714"	"IntermediateAnnotation"	"positive regulation of protein secretion"	"GOAnnotation"	"6"	"6"	"90"	"7"
"1774"	"False"	""	"GO:0050796"	"IntermediateAnnotation"	"regulation of insulin secretion"	"GOAnnotation"	"3"	"3"	"95"	"3"
"1775"	"False"	""	"GO:0090277"	"IntermediateAnnotation"	"positive regulation of peptide hormone secretion"	"GOAnnotation"	"6"	"6"	"70"	"9"
"1776"	"False"	""	"GO:0050708"	"IntermediateAnnotation"	"regulation of protein secretion"	"GOAnnotation"	"7"	"7"	"147"	"5"
"1777"	"False"	""	"GO:0051222"	"IntermediateAnnotation"	"positive regulation of protein transport"	"GOAnnotation"	"6"	"6"	"153"	"4"
"1778"	"False"	""	"GO:0090276"	"IntermediateAnnotation"	"regulation of peptide hormone secretion"	"GOAnnotation"	"6"	"6"	"114"	"5"
"1779"	"False"	""	"GO:0002793"	"IntermediateAnnotation"	"positive regulation of peptide secretion"	"GOAnnotation"	"6"	"6"	"72"	"8"
"1780"	"False"	""	"GO:0046887"	"IntermediateAnnotation"	"positive regulation of hormone secretion"	"GOAnnotation"	"6"	"6"	"83"	"7"
"1781"	"False"	""	"GO:0051223"	"IntermediateAnnotation"	"regulation of protein transport"	"GOAnnotation"	"9"	"9"	"240"	"4"
"1782"	"False"	""	"GO:1904951"	"IntermediateAnnotation"	"positive regulation of establishment of protein localization"	"GOAnnotation"	"6"	"6"	"182"	"3"
"1783"	"False"	""	"GO:0002791"	"IntermediateAnnotation"	"regulation of peptide secretion"	"GOAnnotation"	"6"	"6"	"117"	"5"
"1784"	"False"	""	"GO:0046883"	"IntermediateAnnotation"	"regulation of hormone secretion"	"GOAnnotation"	"8"	"8"	"141"	"6"
"1785"	"False"	""	"GO:0070201"	"IntermediateAnnotation"	"regulation of establishment of protein localization"	"GOAnnotation"	"9"	"9"	"277"	"3"
"1786"	"False"	""	"GO:1903829"	"IntermediateAnnotation"	"positive regulation of protein localization"	"GOAnnotation"	"6"	"6"	"294"	"2"
"1787"	"False"	""	"GO:0090087"	"IntermediateAnnotation"	"regulation of peptide transport"	"GOAnnotation"	"6"	"6"	"119"	"5"
"1788"	"False"	""	"GO:0010817"	"IntermediateAnnotation"	"regulation of hormone levels"	"GOAnnotation"	"10"	"10"	"271"	"4"
"1789"	"False"	""	"GO:0032880"	"IntermediateAnnotation"	"regulation of protein localization"	"GOAnnotation"	"10"	"10"	"493"	"2"
"1790"	"False"	""	"GO:0051044"	"LeafAnnotation"	"positive regulation of membrane protein ectodomain proteolysis"	"GOAnnotation"	"2"	"2"	"14"	"14"
"1791"	"False"	""	"GO:0045862"	"IntermediateAnnotation"	"positive regulation of proteolysis"	"GOAnnotation"	"7"	"7"	"112"	"6"
"1792"	"False"	""	"GO:0051043"	"IntermediateAnnotation"	"regulation of membrane protein ectodomain proteolysis"	"GOAnnotation"	"3"	"3"	"21"	"14"
"1793"	"False"	""	"GO:0070633"	"IntermediateAnnotation"	"transepithelial transport"	"GOAnnotation"	"1"	"1"	"29"	"3"
"1794"	"False"	""	"GO:0071397"	"LeafAnnotation"	"cellular response to cholesterol"	"GOAnnotation"	"1"	"1"	"12"	"8"
"1795"	"False"	""	"GO:0036315"	"IntermediateAnnotation"	"cellular response to sterol"	"GOAnnotation"	"1"	"1"	"13"	"8"
"1796"	"False"	""	"GO:0070723"	"IntermediateAnnotation"	"response to cholesterol"	"GOAnnotation"	"1"	"1"	"18"	"6"
"1797"	"False"	""	"GO:0036314"	"IntermediateAnnotation"	"response to sterol"	"GOAnnotation"	"1"	"1"	"19"	"5"
"1798"	"False"	""	"GO:0071401"	"LeafAnnotation"	"cellular response to triglyceride"	"GOAnnotation"	"1"	"1"	"1"	"100"
"1799"	"False"	""	"GO:0034014"	"IntermediateAnnotation"	"response to triglyceride"	"GOAnnotation"	"2"	"2"	"2"	"100"
"1800"	"False"	""	"GO:0071466"	"IntermediateAnnotation"	"cellular response to xenobiotic stimulus"	"GOAnnotation"	"3"	"3"	"73"	"4"
"1801"	"False"	""	"GO:0071467"	"IntermediateAnnotation"	"cellular response to pH"	"GOAnnotation"	"1"	"1"	"24"	"4"
"1802"	"False"	""	"GO:0009268"	"IntermediateAnnotation"	"response to pH"	"GOAnnotation"	"1"	"1"	"32"	"3"
"1803"	"False"	""	"GO:0071214"	"IntermediateAnnotation"	"cellular response to abiotic stimulus"	"GOAnnotation"	"1"	"1"	"145"	"1"
"1804"	"False"	""	"GO:0104004"	"IntermediateAnnotation"	"cellular response to environmental stimulus"	"GOAnnotation"	"1"	"1"	"145"	"1"
"1805"	"False"	""	"GO:0097241"	"LeafAnnotation"	"hematopoietic stem cell migration to bone marrow"	"GOAnnotation"	"1"	"1"	"4"	"25"
"1806"	"False"	""	"Pf21308"	"LeafAnnotation"	"Complement component 3, CUB domain, second segment"	"Pfam"	"1"	"1"	"1"	"100"
"1807"	"False"	""	"Pf21406"	"LeafAnnotation"	"Complement component 3, CUB domain, first segment"	"Pfam"	"1"	"1"	"1"	"100"
"1808"	"False"	""	"GO:0001798"	"IntermediateAnnotation"	"positive regulation of type IIa hypersensitivity"	"GOAnnotation"	"1"	"1"	"3"	"33"
"1809"	"False"	""	"GO:0001796"	"IntermediateAnnotation"	"regulation of type IIa hypersensitivity"	"GOAnnotation"	"1"	"1"	"4"	"25"
"1810"	"False"	""	"GO:0002894"	"IntermediateAnnotation"	"positive regulation of type II hypersensitivity"	"GOAnnotation"	"1"	"1"	"3"	"33"
"1811"	"False"	""	"GO:0002892"	"IntermediateAnnotation"	"regulation of type II hypersensitivity"	"GOAnnotation"	"1"	"1"	"4"	"25"
"1812"	"False"	""	"GO:0002885"	"IntermediateAnnotation"	"positive regulation of hypersensitivity"	"GOAnnotation"	"1"	"1"	"6"	"17"
"1813"	"False"	""	"GO:0002888"	"IntermediateAnnotation"	"positive regulation of myeloid leukocyte mediated immunity"	"GOAnnotation"	"1"	"1"	"11"	"9"
"1814"	"False"	""	"GO:0002891"	"IntermediateAnnotation"	"positive regulation of immunoglobulin mediated immune response"	"GOAnnotation"	"3"	"3"	"20"	"15"
"1815"	"False"	""	"GO:0002883"	"IntermediateAnnotation"	"regulation of hypersensitivity"	"GOAnnotation"	"1"	"1"	"9"	"11"
"1816"	"False"	""	"GO:0002886"	"IntermediateAnnotation"	"regulation of myeloid leukocyte mediated immunity"	"GOAnnotation"	"2"	"2"	"38"	"5"
"1817"	"False"	""	"GO:0002866"	"IntermediateAnnotation"	"positive regulation of acute inflammatory response to antigenic stimulus"	"GOAnnotation"	"1"	"1"	"8"	"12"
"1818"	"False"	""	"GO:0002714"	"IntermediateAnnotation"	"positive regulation of B cell mediated immunity"	"GOAnnotation"	"3"	"3"	"20"	"15"
"1819"	"False"	""	"GO:0002864"	"IntermediateAnnotation"	"regulation of acute inflammatory response to antigenic stimulus"	"GOAnnotation"	"1"	"1"	"13"	"8"
"1820"	"False"	""	"GO:0002675"	"IntermediateAnnotation"	"positive regulation of acute inflammatory response"	"GOAnnotation"	"1"	"1"	"21"	"5"
"1821"	"False"	""	"GO:0002863"	"IntermediateAnnotation"	"positive regulation of inflammatory response to antigenic stimulus"	"GOAnnotation"	"1"	"1"	"13"	"8"
"1822"	"False"	""	"GO:0002824"	"IntermediateAnnotation"	"positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"	"GOAnnotation"	"3"	"3"	"88"	"3"
"1823"	"False"	""	"GO:0002861"	"IntermediateAnnotation"	"regulation of inflammatory response to antigenic stimulus"	"GOAnnotation"	"1"	"1"	"36"	"3"
"1824"	"False"	""	"GO:0050729"	"IntermediateAnnotation"	"positive regulation of inflammatory response"	"GOAnnotation"	"2"	"2"	"98"	"2"
"1825"	"False"	""	"GO:0002821"	"IntermediateAnnotation"	"positive regulation of adaptive immune response"	"GOAnnotation"	"3"	"3"	"90"	"3"
"1826"	"False"	""	"GO:0001970"	"LeafAnnotation"	"positive regulation of activation of membrane attack complex"	"GOAnnotation"	"1"	"1"	"2"	"50"
"1827"	"False"	""	"GO:0001969"	"IntermediateAnnotation"	"regulation of activation of membrane attack complex"	"GOAnnotation"	"1"	"1"	"3"	"33"
"1828"	"False"	""	"GO:0045917"	"IntermediateAnnotation"	"positive regulation of complement activation"	"GOAnnotation"	"1"	"1"	"4"	"25"
"1829"	"False"	""	"GO:0002922"	"IntermediateAnnotation"	"positive regulation of humoral immune response"	"GOAnnotation"	"2"	"2"	"16"	"12"
"1830"	"False"	""	"GO:0006631"	"IntermediateAnnotation"	"fatty acid metabolic process"	"GOAnnotation"	"2"	"2"	"93"	"2"
